user_id,最高月収,最低月収,平均月収,最高支出,最低支出,月収に対する自由資産率,貯金絶対額,利用意向,収入変動額,収入変動率,支出変動率
1,910000,410000,500000,630000,220000,0.75,9410000,1,500000,1.0,0.9647058823529412
2,540000,630000,680000,380000,280000,0.56,5100000,0,-90000,-0.1323529411764706,0.30303030303030304
3,1110000,440000,470000,270000,300000,0.74,7400000,1,670000,1.425531914893617,-0.10526315789473684
4,1000000,680000,330000,350000,290000,0.7,6240000,0,320000,0.9696969696969697,0.1875
5,600000,460000,890000,530000,330000,0.41,9130000,0,140000,0.15730337078651685,0.46511627906976744
6,1140000,780000,430000,430000,190000,0.17,7920000,0,360000,0.8372093023255814,0.7741935483870968
7,1140000,610000,380000,190000,50000,0.36,2900000,0,530000,1.394736842105263,1.1666666666666667
8,630000,470000,820000,450000,290000,0.57,6130000,1,160000,0.1951219512195122,0.43243243243243246
9,420000,790000,310000,230000,110000,0.57,1450000,1,-370000,-1.1935483870967742,0.7058823529411765
10,610000,350000,890000,400000,130000,0.51,9490000,0,260000,0.29213483146067415,1.0188679245283019
11,920000,340000,730000,570000,280000,0.29,7830000,0,580000,0.7945205479452054,0.6823529411764706
12,410000,660000,370000,240000,50000,0.49,5340000,1,-250000,-0.6756756756756757,1.3103448275862069
13,690000,700000,760000,170000,120000,0.37,4560000,0,-10000,-0.013157894736842105,0.3448275862068966
14,770000,630000,640000,230000,280000,0.78,2800000,0,140000,0.21875,-0.19607843137254902
15,410000,740000,650000,320000,150000,0.69,7980000,0,-330000,-0.5076923076923077,0.723404255319149
16,1030000,710000,790000,690000,210000,0.61,7040000,1,320000,0.4050632911392405,1.0666666666666667
17,990000,760000,330000,660000,120000,0.27,2200000,1,230000,0.696969696969697,1.3846153846153846
18,600000,220000,310000,490000,390000,0.28,5900000,1,380000,1.2258064516129032,0.22727272727272727
19,720000,560000,350000,300000,390000,0.13,850000,0,160000,0.45714285714285713,-0.2608695652173913
20,1150000,700000,830000,250000,370000,0.6,5740000,0,450000,0.5421686746987951,-0.3870967741935484
21,970000,260000,330000,540000,90000,0.18,2090000,1,710000,2.1515151515151514,1.4285714285714286
